antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({10000600, 10000628})",frozenset({10000627}),0.1167224124570315,0.2277779617572839,0.0695449156527556,0.5958145842672402,2.615769232767696,0.0429581224518999,1.9105638357651569
frozenset({10000627}),"frozenset({10000600, 10000628})",0.2277779617572839,0.1167224124570315,0.0695449156527556,0.305318895279524,2.615769232767696,0.0429581224518999,1.2714864151924492
"frozenset({10000600, 10000627})",frozenset({10000628}),0.138235430478928,0.1941152315161309,0.0695449156527556,0.5030903829200046,2.591709980667838,0.0427113130616064,1.6217934626009325
frozenset({10000628}),"frozenset({10000600, 10000627})",0.1941152315161309,0.138235430478928,0.0695449156527556,0.358266144854153,2.591709980667838,0.0427113130616064,1.3428691078254216
frozenset({10000629}),"frozenset({10000600, 10000627})",0.1309829583463038,0.138235430478928,0.046883423961638,0.3579352959618127,2.589316608062899,0.0287769383292332,1.3421771421184023
"frozenset({10000600, 10000627})",frozenset({10000629}),0.138235430478928,0.1309829583463038,0.046883423961638,0.3391563494192955,2.5893166080628984,0.0287769383292332,1.3150115627048289
frozenset({10000627}),"frozenset({10000640, 10000628})",0.2277779617572839,0.0665863044183782,0.0391991151321672,0.1720935371874873,2.5845185236018056,0.0240322224307989,1.1274385905995787
"frozenset({10000640, 10000628})",frozenset({10000627}),0.0665863044183782,0.2277779617572839,0.0391991151321672,0.588696361429964,2.5845185236018056,0.0240322224307989,1.8774986793879855
"frozenset({10000504, 10000628})",frozenset({10000627}),0.0682944437453223,0.2277779617572839,0.0386891239411059,0.5665047084266774,2.4870918330120744,0.0231331547454489,1.7813850651988
frozenset({10000627}),"frozenset({10000504, 10000628})",0.2277779617572839,0.0682944437453223,0.0386891239411059,0.1698545532790936,2.487091833012074,0.0231331547454489,1.1223401392309458
frozenset({10000628}),"frozenset({10000504, 10000627})",0.1941152315161309,0.0825331328692634,0.0386891239411059,0.1993100883373538,2.414910005331688,0.0226681857464372,1.1458454187659253
"frozenset({10000504, 10000627})",frozenset({10000628}),0.0825331328692634,0.1941152315161309,0.0386891239411059,0.4687708147755816,2.414910005331688,0.0226681857464372,1.5170190021533212
frozenset({10000640}),frozenset({10000648}),0.2003583184861871,0.0792559427220283,0.0345913116046177,0.1726472445265729,2.1783507784658216,0.0187117241907945,1.1128796649152446
